pickup_zip,dropoff_zip,distance_miles
10001,11572,20.6
11572,10001,20.6
10001,33101,1091.6
33101,10001,1091.6
10001,33433,1053.7
33433,10001,1053.7
10001,60614,714.0
60614,10001,714.0
10001,75201,1373.7
75201,10001,1373.7
10001,90210,2458.8
90210,10001,2458.8
10001,90280,2451.6
90280,10001,2451.6
10001,26384,377.6
26384,10001,377.6
10001,71935,1166.3
71935,10001,1166.3
10001,44706,389.4
44706,10001,389.4
10001,32063,854.4
32063,10001,854.4
10001,60187,737.7
60187,10001,737.7
10001,83465,2018.0
83465,10001,2018.0
10001,32258,845.8
32258,10001,845.8
10001,53022,745.7
53022,10001,745.7
10001,58654,1538.6
58654,10001,1538.6
10001,47120,669.1
47120,10001,669.1
10001,68715,1226.6
68715,10001,1226.6
10001,36049,922.6
36049,10001,922.6
10001,52325,934.9
52325,10001,934.9
10001,72046,1070.0
72046,10001,1070.0
10001,64659,1020.0
64659,10001,1020.0
10001,97640,2381.9
97640,10001,2381.9
10001,92656,2437.9
92656,10001,2437.9
10001,47616,762.8
47616,10001,762.8
10001,27601,425.8
27601,10001,425.8
10001,97364,2514.4
97364,10001,2514.4
10001,64112,1098.5
64112,10001,1098.5
10001,32266,831.1
32266,10001,831.1
10001,44076,359.8
44076,10001,359.8
10001,66223,1105.0
66223,10001,1105.0
10001,56589,1165.7
56589,10001,1165.7
10001,91770,2442.5
91770,10001,2442.5
10001,28169,549.6
28169,10001,549.6
10001,25843,439.9
25843,10001,439.9
10001,51649,1126.5
51649,10001,1126.5
10001,99158,2172.8
99158,10001,2172.8
10001,55713,1039.4
55713,10001,1039.4
10001,20779,194.0
20779,10001,194.0
10001,44087,390.8
44087,10001,390.8
10001,04220,309.5
04220,10001,309.5
10001,92602,2433.5
92602,10001,2433.5
10001,44417,351.1
44417,10001,351.1
10001,12768,85.9
12768,10001,85.9
10001,63030,912.5
63030,10001,912.5
10001,05250,168.7
05250,10001,168.7
10001,87113,1808.3
87113,10001,1808.3
10001,41222,517.1
41222,10001,517.1
10001,32948,971.6
32948,10001,971.6
10001,71286,1105.1
71286,10001,1105.1
10001,67751,1399.2
67751,10001,1399.2
10001,04956,342.5
04956,10001,342.5
10001,04668,442.4
04668,10001,442.4
10001,29714,562.7
29714,10001,562.7
10001,70516,1251.2
70516,10001,1251.2
10001,28027,517.6
28027,10001,517.6
10001,81073,1553.8
81073,10001,1553.8
10001,46501,640.9
46501,10001,640.9
10001,70114,1169.7
70114,10001,1169.7
10001,11003,15.6
11003,10001,15.6
10001,68130,1158.0
68130,10001,1158.0
10001,59642,1868.3
59642,10001,1868.3
10001,80468,1687.1
80468,10001,1687.1
10001,43346,517.3
43346,10001,517.3
10001,41567,496.0
41567,10001,496.0
10001,50665,977.7
50665,10001,977.7
10001,20716,191.6
20716,10001,191.6
10001,25981,403.1
25981,10001,403.1
10001,78739,1525.0
78739,10001,1525.0
10001,61845,757.6
61845,10001,757.6
10001,86314,2126.2
86314,10001,2126.2
10001,28538,415.9
28538,10001,415.9
10001,68071,1167.4
68071,10001,1167.4
10001,45836,505.8
45836,10001,505.8
10001,11369,6.6
11369,10001,6.6
10001,97703,2407.6
97703,10001,2407.6
10001,01606,157.0
01606,10001,157.0
10001,50585,1098.5
50585,10001,1098.5
10001,04924,358.3
04924,10001,358.3
10001,63108,877.1
63108,10001,877.1
10001,13111,219.5
13111,10001,219.5
10001,49441,653.6
49441,10001,653.6
10001,67059,1359.5
67059,10001,1359.5
10001,14860,194.4
14860,10001,194.4
10001,31743,826.0
31743,10001,826.0
10001,16735,258.1
16735,10001,258.1
10001,90278,2462.9
90278,10001,2462.9
10001,50111,1031.7
50111,10001,1031.7
10001,27803,394.9
27803,10001,394.9
10001,71048,1176.0
71048,10001,1176.0
10001,62221,861.0
62221,10001,861.0
10001,55769,1057.7
55769,10001,1057.7
10001,25420,238.1
25420,10001,238.1
10001,92394,2390.5
92394,10001,2390.5
10001,48861,580.3
48861,10001,580.3
10001,70757,1216.0
70757,10001,1216.0
10001,74855,1294.7
74855,10001,1294.7
10001,77514,1388.4
77514,10001,1388.4
10001,51537,1109.0
51537,10001,1109.0
10001,76226,1381.7
76226,10001,1381.7
10001,49106,657.4
49106,10001,657.4
10001,31909,828.6
31909,10001,828.6
10001,29560,572.2
29560,10001,572.2
10001,22207,209.4
22207,10001,209.4
10001,52555,986.2
52555,10001,986.2
10001,53952,825.3
53952,10001,825.3
11572,33101,1091.0
33101,11572,1091.0
11572,33433,1053.3
33433,11572,1053.3
11572,60614,734.1
60614,11572,734.1
11572,75201,1389.7
75201,11572,1389.7
11572,90210,2478.3
90210,11572,2478.3
11572,90280,2471.0
90280,11572,2471.0
11572,26384,393.6
26384,11572,393.6
11572,71935,1182.4
71935,11572,1182.4
11572,44706,408.7
44706,11572,408.7
11572,32063,858.8
32063,11572,858.8
11572,60187,757.8
60187,11572,757.8
11572,83465,2038.6
83465,11572,2038.6
11572,32258,849.3
32258,11572,849.3
11572,53022,766.2
53022,11572,766.2
11572,58654,1559.2
58654,11572,1559.2
11572,47120,686.5
47120,11572,686.5
11572,68715,1246.8
68715,11572,1246.8
11572,36049,932.6
36049,11572,932.6
11572,52325,954.9
52325,11572,954.9
11572,72046,1085.7
72046,11572,1085.7
11572,64659,1039.3
64659,11572,1039.3
11572,97640,2402.5
97640,11572,2402.5
11572,92656,2457.2
92656,11572,2457.2
11572,47616,780.4
47616,11572,780.4
11572,27601,431.4
27601,11572,431.4
11572,97364,2535.0
97364,11572,2535.0
11572,64112,1117.5
64112,11572,1117.5
11572,32266,834.6
32266,11572,834.6
11572,44076,379.9
44076,11572,379.9
11572,66223,1124.0
